sub_idx,Group,Trial_idx,Outcome,Choice_t,Correct,winstay_t1,winstay_t2,winstay_t3,winstay_t4
3,1,145,0,0,1,-1,0,0,-1
3,1,146,0,1,0,-0,-1,0,0
3,1,147,1,1,0,0,-0,-1,0
3,1,148,0,1,0,1,0,-0,-1
3,1,149,0,1,0,0,1,0,-0
3,1,150,1,0,1,0,0,1,0
3,1,151,1,0,1,-1,0,0,1
3,1,152,1,0,1,-1,-1,0,0
3,1,153,1,0,1,-1,-1,-1,0
3,1,154,1,0,1,-1,-1,-1,-1
3,1,155,0,1,0,-1,-1,-1,-1
3,1,156,1,0,1,0,-1,-1,-1
3,1,157,1,0,1,-1,0,-1,-1
3,1,158,1,0,1,-1,-1,0,-1
3,1,159,1,0,1,-1,-1,-1,0
3,1,160,1,0,1,-1,-1,-1,-1
4,1,1,0,0,0,NaN,NaN,NaN,NaN
4,1,2,1,1,1,-0,NaN,NaN,NaN
4,1,3,1,1,1,1,-0,NaN,NaN
4,1,4,1,1,1,1,1,-0,NaN
4,1,5,1,1,1,1,1,1,-0
4,1,6,1,1,1,1,1,1,1
4,1,7,1,1,1,1,1,1,1
4,1,8,1,1,1,1,1,1,1
4,1,9,1,1,1,1,1,1,1
4,1,10,1,1,1,1,1,1,1
4,1,11,1,1,1,1,1,1,1
4,1,12,1,1,1,1,1,1,1
4,1,13,1,1,1,1,1,1,1
4,1,14,1,1,1,1,1,1,1
4,1,15,1,1,1,1,1,1,1
4,1,16,0,1,1,1,1,1,1
4,1,17,1,1,1,0,1,1,1
4,1,18,1,1,1,1,0,1,1
4,1,19,1,1,1,1,1,0,1
4,1,20,1,1,1,1,1,1,0
4,1,21,1,1,1,1,1,1,1
4,1,22,1,1,1,1,1,1,1
4,1,23,1,1,1,1,1,1,1
4,1,24,1,1,1,1,1,1,1
4,1,25,1,1,1,1,1,1,1
4,1,26,1,1,1,1,1,1,1
4,1,27,1,1,1,1,1,1,1
4,1,28,1,1,1,1,1,1,1
4,1,29,1,1,1,1,1,1,1
4,1,30,1,1,1,1,1,1,1
4,1,31,0,1,1,1,1,1,1
4,1,32,1,1,1,0,1,1,1
4,1,33,1,1,1,1,0,1,1
4,1,34,1,1,1,1,1,0,1
4,1,35,1,1,1,1,1,1,0
4,1,36,0,1,1,1,1,1,1
4,1,37,1,1,1,0,1,1,1
4,1,38,1,1,1,1,0,1,1
4,1,39,1,1,1,1,1,0,1
4,1,40,1,1,1,1,1,1,0
4,1,41,1,1,1,1,1,1,1
4,1,42,0,1,1,1,1,1,1
4,1,43,1,1,1,0,1,1,1
4,1,44,1,1,1,1,0,1,1
4,1,45,1,1,1,1,1,0,1
4,1,46,0,1,1,1,1,1,0
4,1,47,1,1,1,0,1,1,1
4,1,48,1,1,1,1,0,1,1
4,1,49,0,1,1,1,1,0,1
4,1,50,1,1,1,0,1,1,0
4,1,51,1,1,1,1,0,1,1
4,1,52,1,1,1,1,1,0,1
4,1,53,1,1,1,1,1,1,0
4,1,54,0,1,1,1,1,1,1
4,1,55,1,1,1,0,1,1,1
4,1,56,1,1,0,1,0,1,1
4,1,57,0,1,0,1,1,0,1
4,1,58,0,1,0,0,1,1,0
4,1,59,1,0,1,0,0,1,1
4,1,60,1,0,1,-1,0,0,1
4,1,61,1,0,1,-1,-1,0,0
4,1,62,1,0,1,-1,-1,-1,0
4,1,63,1,0,1,-1,-1,-1,-1
4,1,64,1,0,1,-1,-1,-1,-1
4,1,65,1,0,1,-1,-1,-1,-1
4,1,66,1,0,1,-1,-1,-1,-1
4,1,67,1,0,1,-1,-1,-1,-1
4,1,68,1,0,1,-1,-1,-1,-1
4,1,69,0,0,1,-1,-1,-1,-1
4,1,70,1,0,1,-0,-1,-1,-1
4,1,71,0,0,0,-1,-0,-1,-1
4,1,72,0,0,0,-0,-1,-0,-1
