sub_idx,Cond,Order,Group,Trial_idx,Outcome,Choice_t,Correct,winstay_t1,winstay_t2,winstay_t3,winstay_t4,loseshift_t1,loseshift_t2,loseshift_t3,loseshift_t4,RT
1,2,1,1,95,0,0,0,0,0,0,-1,1,1,1,0,0.902901759
1,2,1,1,96,0,0,0,0,0,0,0,1,1,1,1,0.539739366
1,2,1,1,97,1,1,1,0,0,0,0,1,1,1,1,0.578715502
1,2,1,1,98,1,1,1,1,0,0,0,0,1,1,1,0.6591346
1,2,1,1,99,0,0,0,1,1,0,0,0,0,1,1,0.813201817
1,2,1,1,100,1,1,1,0,1,1,0,1,0,0,1,0.57599387
1,2,1,1,101,0,0,0,1,0,1,1,0,1,0,0,0.42926003
1,2,1,1,102,0,0,0,0,1,0,1,1,0,1,0,0.633570274
1,2,1,1,103,0,0,0,0,0,1,0,1,1,0,1,0.585053895
1,2,1,1,104,0,0,0,0,0,0,1,1,1,1,0,0.541271058
1,2,1,1,105,1,1,1,0,0,0,0,1,1,1,1,0.575676304
1,2,1,1,106,0,1,0,1,0,0,0,0,1,1,1,0.687159734
1,2,1,1,107,0,1,0,0,1,0,0,-1,0,1,1,0.710313659
1,2,1,1,108,1,0,1,0,0,1,0,-1,-1,0,1,0.561737076
1,2,1,1,109,1,0,1,-1,0,0,1,0,-1,-1,0,0.732927944
1,2,1,1,110,1,0,1,-1,-1,0,0,0,0,-1,-1,0.588409605
1,2,1,1,111,1,0,1,-1,-1,-1,0,0,0,0,-1,0.449631897
1,2,1,1,112,0,0,1,-1,-1,-1,-1,0,0,0,0,0.455740501
1,2,1,1,113,1,0,1,0,-1,-1,-1,1,0,0,0,0.381117328
1,2,1,1,114,1,0,1,-1,0,-1,-1,0,1,0,0,0.775901011
1,2,1,1,115,1,1,0,-1,-1,0,-1,0,0,1,0,0.939278548
1,2,1,1,116,0,0,1,1,-1,-1,0,0,0,0,1,0.880129727
1,2,1,1,117,0,1,0,0,1,-1,-1,1,0,0,0,0.514291301
1,2,1,1,118,0,1,0,0,0,1,-1,-1,1,0,0,0.619958092
1,2,1,1,119,0,1,0,0,0,0,1,-1,-1,1,0,0.397717221
1,2,1,1,120,0,0,1,0,0,0,0,-1,-1,-1,1,0.553319836
1,2,1,1,121,0,1,0,0,0,0,0,1,-1,-1,-1,0.798537025
1,2,1,1,122,1,0,1,0,0,0,0,-1,1,-1,-1,0.396930357
1,2,1,1,123,1,0,1,-1,0,0,0,0,-1,1,-1,0.801517537
1,2,1,1,124,1,0,1,-1,-1,0,0,0,0,-1,1,0.664786493
1,2,1,1,125,1,0,1,-1,-1,-1,0,0,0,0,-1,0.698023798
1,2,1,1,126,1,1,1,-1,-1,-1,-1,0,0,0,0,0.992089206
1,2,1,1,127,1,1,1,1,-1,-1,-1,0,0,0,0,0.497480167
1,2,1,1,128,1,1,1,1,1,-1,-1,0,0,0,0,0.52292326
1,2,1,1,129,0,0,0,1,1,1,-1,0,0,0,0,0.682917399
1,2,1,1,130,1,1,1,0,1,1,1,1,0,0,0,0.632681782
1,2,1,1,131,0,0,0,1,0,1,1,0,1,0,0,0.641701119
1,2,1,1,132,1,1,1,0,1,0,1,1,0,1,0,0.677462837
1,2,1,1,133,1,1,1,1,0,1,0,0,1,0,1,0.670207598
1,2,1,1,134,0,0,0,1,1,0,1,0,0,1,0,0.613639372
1,2,1,1,135,0,1,1,0,1,1,0,1,0,0,1,0.365287056
1,2,1,1,136,0,0,0,0,0,1,1,-1,1,0,0,0.465192252
1,2,1,1,137,1,1,1,0,0,0,1,1,-1,1,0,0.625831303
1,2,1,1,138,1,1,1,1,0,0,0,0,1,-1,1,0.600165316
1,2,1,1,139,1,1,1,1,1,0,0,0,0,1,-1,0.631320327
1,2,1,1,140,0,0,0,1,1,1,0,0,0,0,1,0.756711741
1,2,1,1,141,1,1,1,0,1,1,1,1,0,0,0,0.568781538
1,2,1,1,142,1,1,1,1,0,1,1,0,1,0,0,0.709736638
1,2,1,1,143,0,0,0,1,1,0,1,0,0,1,0,0.609468685
1,2,1,1,144,1,1,1,0,1,1,0,1,0,0,1,0.607452055
1,2,1,1,145,1,1,1,1,0,1,1,0,1,0,0,0.547173391
1,2,1,1,146,0,0,0,1,1,0,1,0,0,1,0,1.004156135
1,2,1,1,147,1,1,1,0,1,1,0,1,0,0,1,0.984773305
1,2,1,1,148,1,1,1,1,0,1,1,0,1,0,0,0.690833347
1,2,1,1,149,0,0,0,1,1,0,1,0,0,1,0,0.648544516
1,2,1,1,150,1,1,1,0,1,1,0,1,0,0,1,0.474210549
1,2,1,1,151,0,0,0,1,0,1,1,0,1,0,0,0.494318072
1,2,1,1,152,1,1,1,0,1,0,1,1,0,1,0,0.481258329
1,2,1,1,153,0,0,0,1,0,1,0,0,1,0,1,0.601387446
1,2,1,1,154,0,0,0,0,1,0,1,1,0,1,0,0.76128768
1,2,1,1,155,1,1,1,0,0,1,0,1,1,0,1,0.649724488
1,2,1,1,156,1,1,1,1,0,0,1,0,1,1,0,0.833068437
1,2,1,1,157,0,0,0,1,1,0,0,0,0,1,1,0.727691625
1,2,1,1,158,1,1,1,0,1,1,0,1,0,0,1,0.470283302
1,2,1,1,159,0,1,1,1,0,1,1,0,1,0,0,0.73159052
1,2,1,1,160,0,0,0,0,1,0,1,-1,0,1,0,0.692542861
2,2,1,1,1,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.149464914
2,2,1,1,2,1,1,1,1,NaN,NaN,NaN,0,NaN,NaN,NaN,0.619409939
2,2,1,1,3,1,1,1,1,1,NaN,NaN,0,0,NaN,NaN,0.429614697
2,2,1,1,4,1,1,1,1,1,1,NaN,0,0,0,NaN,0.609888543
2,2,1,1,5,0,1,1,1,1,1,1,0,0,0,0,0.729507154
2,2,1,1,6,1,1,1,0,1,1,1,-1,0,0,0,1.220473286
2,2,1,1,7,1,1,1,1,0,1,1,0,-1,0,0,0.647473204
2,2,1,1,8,0,0,0,1,1,0,1,0,0,-1,0,1.142440596
2,2,1,1,9,1,1,1,0,1,1,0,1,0,0,-1,1.023050113
2,2,1,1,10,1,1,1,1,0,1,1,0,1,0,0,0.689060452
2,2,1,1,11,0,1,1,1,1,0,1,0,0,1,0,0.668073592
2,2,1,1,12,1,1,1,0,1,1,0,-1,0,0,1,0.847406059
2,2,1,1,13,1,1,1,1,0,1,1,0,-1,0,0,0.687892305
2,2,1,1,14,1,1,1,1,1,0,1,0,0,-1,0,0.797376681
2,2,1,1,15,0,0,0,1,1,1,0,0,0,0,-1,0.565674842
2,2,1,1,16,1,1,1,0,1,1,1,1,0,0,0,0.567290516
2,2,1,1,17,1,1,1,1,0,1,1,0,1,0,0,0.950782716
2,2,1,1,18,0,1,1,1,1,0,1,0,0,1,0,0.550170248
2,2,1,1,19,1,1,1,0,1,1,0,-1,0,0,1,1.402916774
2,2,1,1,20,1,1,1,1,0,1,1,0,-1,0,0,0.812535662
2,2,1,1,21,0,0,0,1,1,0,1,0,0,-1,0,0.528748205
2,2,1,1,22,1,1,1,0,1,1,0,1,0,0,-1,1.43113446
2,2,1,1,23,1,1,1,1,0,1,1,0,1,0,0,0.646282912
2,2,1,1,24,1,1,1,1,1,0,1,0,0,1,0,0.579663237
2,2,1,1,25,1,1,1,1,1,1,0,0,0,0,1,0.744975103
2,2,1,1,26,1,1,1,1,1,1,1,0,0,0,0,0.699514258
2,2,1,1,27,0,0,0,1,1,1,1,0,0,0,0,0.477417526
2,2,1,1,28,1,1,1,0,1,1,1,1,0,0,0,0.715242863
2,2,1,1,29,1,1,1,1,0,1,1,0,1,0,0,0.914183544
