sub_idx,Cond,Order,Group,Trial_idx,Outcome,Choice_t,Correct,winstay_t1,winstay_t2,winstay_t3,winstay_t4,loseshift_t1,loseshift_t2,loseshift_t3,loseshift_t4,RT,State
1,2,1,1,104,0,0,0,-0,-0,-0,1,1,1,1,-0,0.541271058329585,1
1,2,1,1,105,1,1,1,-0,-0,-0,-0,1,1,1,1,0.575676303531509,1
1,2,1,1,106,0,1,0,1,-0,-0,-0,-0,1,1,1,0.687159734214219,0
1,2,1,1,107,0,1,0,0,1,-0,-0,-1,-0,1,1,0.710313658843006,0
1,2,1,1,108,1,0,1,0,0,1,-0,-1,-1,-0,1,0.561737075959627,0
1,2,1,1,109,1,0,1,-1,0,0,1,0,-1,-1,-0,0.73292794422332,0
1,2,1,1,110,1,0,1,-1,-1,0,0,0,0,-1,-1,0.588409604897151,0
1,2,1,1,111,1,0,1,-1,-1,-1,0,0,0,0,-1,0.449631896920437,0
1,2,1,1,112,0,0,1,-1,-1,-1,-1,0,0,0,0,0.45574050102914,0
1,2,1,1,113,1,0,1,-0,-1,-1,-1,1,0,0,0,0.381117327844549,0
1,2,1,1,114,1,0,1,-1,-0,-1,-1,0,1,0,0,0.775901011147198,0
1,2,1,1,115,1,1,0,-1,-1,-0,-1,0,0,1,0,0.939278548371931,0
1,2,1,1,116,0,0,1,1,-1,-1,-0,-0,0,0,1,0.880129726595896,0
1,2,1,1,117,0,1,0,-0,1,-1,-1,1,-0,0,0,0.514291300657533,0
1,2,1,1,118,0,1,0,0,-0,1,-1,-1,1,-0,0,0.619958091517674,0
1,2,1,1,119,0,1,0,0,0,-0,1,-1,-1,1,-0,0.397717220581399,0
1,2,1,1,120,0,0,1,0,0,0,-0,-1,-1,-1,1,0.553319835663387,0
1,2,1,1,121,0,1,0,-0,0,0,0,1,-1,-1,-1,0.798537024834332,0
1,2,1,1,122,1,0,1,0,-0,0,0,-1,1,-1,-1,0.396930357476776,0
1,2,1,1,123,1,0,1,-1,0,-0,0,0,-1,1,-1,0.80151753702421,0
1,2,1,1,124,1,0,1,-1,-1,0,-0,0,0,-1,1,0.664786492862277,0
1,2,1,1,125,1,0,1,-1,-1,-1,0,0,0,0,-1,0.698023797717269,0
1,2,1,1,126,1,1,1,-1,-1,-1,-1,0,0,0,0,0.992089205517459,1
1,2,1,1,127,1,1,1,1,-1,-1,-1,-0,0,0,0,0.497480167343838,1
1,2,1,1,128,1,1,1,1,1,-1,-1,-0,-0,0,0,0.522923260064999,1
1,2,1,1,129,0,0,0,1,1,1,-1,-0,-0,-0,0,0.682917399019061,1
1,2,1,1,130,1,1,1,-0,1,1,1,1,-0,-0,-0,0.632681781971769,1
1,2,1,1,131,0,0,0,1,-0,1,1,-0,1,-0,-0,0.641701119413028,1
1,2,1,1,132,1,1,1,-0,1,-0,1,1,-0,1,-0,0.677462837160419,1
1,2,1,1,133,1,1,1,1,-0,1,-0,-0,1,-0,1,0.670207597639546,1
